Code	Error	Description
7342E	EAS_ERR_MAPPING_FILE_SPECIFIED_WITHOUT_FILETYPE	The mapping file [{0}] was specified, but no file type was specified.
7343E	EAS_ERR_FILETYPE_SPECIFIED_WITHOUT_MAPPING_FILE	The file type [{0}] was specified, but no mapping file was specified.
7344E	EAS_ERR_UNKNOWN_MAPPING_DIRECTIVE	Invalid mapping directive [{0}] for attribute [{1}].
2000E	EAS_ERR_REQUESTED_CONFIG_FOR_INVALID_ETYPE_CODE	Requested config for invalid ETYPE_CODE[{0}]
2001E	EAS_ERR_FEATURE_HAS_NO_FTYPE_CODE	Cannot process feature with no FTYPE_CODE[{0}]
2002E	EAS_ERR_REQUESTED_CONFIG_FOR_INVALID_FTYPE_CODE	Requested config for invalid FTYPE_CODE[{0}]
2003E	EAS_ERR_NO_FELEM_CODE	Cannot process OBS_FELEM with no FELEM_CODE[{0}]
2004W	EAS_WRN_FELEM_CODE_BUT_NO_VALUE	OBS_FELEM has FELEM_CODE but no FELEM_VALUE[{0}]
2005E	EAS_ERR_INVALID_FELEM_CODE	FELEM_CODE[{0}] is not configured for FTYPE_CODE[{1}]
2006E	EAS_ERR_MISSING_ENT_SRC_KEY 	OBS_ENT is missing ENT_SRC_KEY
2007E	EAS_ERR_MISSING_OBS_SRC_KEY 	OBS is missing OBS_SRC_KEY
2008W	EAS_WRN_FEATURE_HAS_NO_FELEM	Cannot process feature with no elements[{0}]
2009W	EAS_WRN_NO_GROUPER_FEATS	ENT_SRC_KEY[{0}] has no grouper features
2010E	EAS_ERR_GROUPER_KEY_MATCH_HAS_MULTIPLE_CANDIDATES	Grouper Key Matching has resulted in [{0}] candidates, but only 1 RES_ENT found
2011E	EAS_ERR_GROUPER_KEY_ENABLED_BUT_NOT_CONFIGURED_TO_RESOLVE	Grouper Key Clustering is Enabled, but RULE_ID [{0}] is not configured to resolve.
2012E	EAS_ERR_ERRULE_CONFIGURED_FOR_RESOLVE_AND_RELATE	ER Rule [{0}] is configured for both resolve and relate.
2013E	EAS_ERR_GROUPER_KEY_NOT_CONFIGURED  	A GROUPER_KEY ER Rule is required to be configured in CFG_ERRULE.
2014E	EAS_ERR_REQUESTED_CONFIG_FOR_INVALID_UTYPE_CODE	Requested config for invalid UTYPE_CODE[{0}]
2015E	EAS_ERR_INVALID_FTYPE_CODE	Invalid FTYPE_CODE[{0}]
2026E	EAS_ERR_BAD_GROUPER_PARSE	Error parsing RS, ES values from grouper key.  LIB_EFEAT_ID[{0}] value[{1}]
2027E	EAS_ERR_PLUGIN_INIT	Plugin initialization error {0}
2028E	EAS_ERR_PLUGIN_SCORING	[{0}] Plug-in encountered the following error while scoring {1}
2029E	EAS_ERR_REQUESTED_CONFIG_FOR_INVALID_PLUGIN	Configuration not found for plugin type: {0}
2030E	EAS_ERR_PLUGIN_VERSION	Library [{0}] version [{1}] is older than configured version [{2}]
2031E	EAS_ERR_PLUGIN_TYPE	Library [{0}] is of type [{1}] but is configured as type [{2}]
2032E	EAS_ERR_REQUESTED_ECLASS_FOR_INVALID_ETYPE	requested invalid EType ID [{0}]
2033E	EAS_ERR_ETYPE_CONFIGURED_WITH_INVALID_ECLASS	EType configured with invalid EClass ID ETYPE_ID[{0}] ECLASS_ID[{1}]
2034E	EAS_ERR_INVALID_CFRTN_VAL	CFRTN_ID[{0}] is expecting CFRTN_VAL[{1}] which is not offered by CFUNC_ID[{2}][{3}]. Available scores are [{4}]
2035E	EAS_ERR_INVALID_CFRTN_CFUNC	CFRTN_ID[{0}] is expecting configuration for CFUNC_ID[{1}] which cannot be found
2036E	EAS_ERR_FTYPE_HAS_NO_BOM	FType configured with no Feature Elements
2037E	EAS_ERR_FUNC_CALL_HAS_NO_BOM	Function call
2131E	EAS_ERR_OBS_ENT_NOT_FOUND	Requested resolution of OBS_ENT_ID that is not loaded OBS_ENT_ID[{0}]
2135E	EAS_ERR_UMF_MAPPING_CONFIG_ERROR	Error in UMF Mapping Config[{0}]
2136E	EAS_ERR_UMF_MAPPING_MISSING_REQUIRED_FIELD	Error in UMF Mapping, missing required field[{0}]
2137E	EAS_ERR_UMF_MAPPING_MALFORMED_INPUT	Error in UMF Mapping, input message is malformed[{0}]
2138E	EAS_ERR_INVALID_CFRTN_INDEX	CFRTN_ID[{0}] is out of range. Valid range is 0-7
2039E	EAS_ERR_PLUGIN_RELATIONSHIP	[{0}] Plug-in encountered the following error while relationship_scoring {1}
2040E	EAS_ERR_UNCONFIGURED_FELEM	LIB_FEAT_ID[{0}] contains a feature element of FELEM_ID[{1}] which is unconfigured
2041E	EAS_ERR_EFCALL_HAS_NO_BOM	EFeature creation call configured with no Bill of Materials  EFCALL_ID[{0}]
2042E	EAS_ERR_PLUGIN_BUILDER	[{0}] Plug-in encountered the following error while building output messages: {1}
2043E	EAS_ERR_PLUGIN_EFEAT_CREATOR	[{0}] Plug-in encountered the following error while creating efeatures {1}
2044E	EAS_ERR_STD_RETURN_DOC	[{0}] Standardization Plug-in did not return a valid document {1}
2045E	EAS_ERR_CFRTN_REFERS_BAD_CFUNC_ID	CFRTN_ID[{0}] references CFUNC_ID[{1}] which is not configured
2047E	EAS_ERR_MISSING_DSRC_CODE	OBS_SRC_KEY[{0}] is missing DSRC_CODE tag which is required
2048E	EAS_ERR_FEAT_FREQ_INVALID	FEATURE CODE[{0}] FEATURE FREQUENCY[{1}] is an invalid frequency
2048E	EAS_ERR_FEAT_OVERRIDE_FREQ_INVALID	FEATURE BEHAVIOR OVERRIDE FREQUENCY[{0}] is an invalid frequency
2049E	EAS_ERR_FUNC_INVALID	{2} [{0}] is invalid for {3}[{1}]
2050E	EAS_ERR_QUAL_FRAG_NOT_FOUND	Rule[{0}] Qualifier Fragment[{1}]: Fragment not found
2051E	EAS_ERR_DISQUAL_FRAG_NOT_FOUND	Rule[{0}] Disqualifier Fragment[{1}]: Fragment not found
2052E	EAS_ERR_XPATH_FRAG_ERR	XPath evaluation error when evaluating Fragment ID[{0}] NAME[{1}]
2053E	EAS_ERR_XPATH_FRAG_NULL	Fragment ID[{0}] NAME[{1}] evaluation returned NULL result.
2054E	EAS_ERR_XPATH_FRAG_BAD_TYPE 	Fragment evaluation returned invalid result type.  Valid types are BOOL, NUMBER, and NODESET
2055E	EAS_ERR_SUMMARY_MISSING_SCORE	Summary configuration references score that does not exist FEATURE_CODE[{0}] SCORE[{1}]
2056E	EAS_ERR_SUMMARY_EMPTY_SCORE	Summary configuration references score that is not being populated FEATURE_CODE[{0}] SCORE[{1}] VALUE[{2}]
2057E	EAS_ERR_BAD_DSRC_ACTION	OBS_SRC_KEY[{0}] has DSRC_ACTION[{1}] which is invalid.  Valid values are [A]dd, [C]hange, [D]elete, [P]rune or E[X]tensive Evaluation
2058E	EAS_ERR_INHERIT_MISSING_LENS 	OBS_ENT INHERIT TAG IS MISSING REQUIRED LENS_ID TAG
2059E	EAS_ERR_INHERIT_MISSING_RES_ENT_ID 	OBS_ENT INHERIT TAG IS MISSING REQUIRED RES_ENT_ID TAG
2060E	EAS_ERR_INHERIT_MULTIPLE 	OBS_ENT HAS MULTIPLE INHERIT TAGS.  ONLY ONE IS ALLOWED
2061E	EAS_ERR_DUPLICATE_LOOKUP_IDENTIFIER	Duplicate [{0}] with identifier value [{1}].  Only unique values are allowed.
2062E	EAS_ERR_INVALID_LOOKUP_IDENTIFIER	Requested lookup of [{0}] using unknown value [{1}].  Value not found.
2065E	EAS_ERR_FTYPE_HAS_MULTIPLE_DEFINITIONS	FType configured with multiple definitions. FTYPE_CODE[{0}] used in FTYPE_ID[{1}] and FTYPE_ID[{2}]
2066E	EAS_ERR_FELEM_HAS_MULTIPLE_DEFINITIONS	FElem configured with multiple definitions. FELEM_CODE[{0}] used in FELEM_ID[{1}] and FELEM_ID[{2}]
2067E	EAS_ERR_ERFRAG_HAS_MULTIPLE_DEFINITIONS	ER Fragment code configured with multiple definitions. ERFRAG_CODE[{0}] used in ERFRAG_ID[{1}] and ERFRAG_ID[{2}]
2068E	EAS_ERR_ER_RULE_NOT_FOUND	ER-Rule ID [{0}] referenced, but not found.
2069E	EAS_ERR_BOM_CONFIG_INVALID_FOR_SIMPLE_PLUGIN	Configured plugin for CFCALL_ID[{0}] requires exactly one value in BOM
2070E	EAS_ERR_EFCALL_HAS_INVALID_FUNCTION	EFeature creation call configured with invalid function ID EFCALL_ID[{0}] EFUNC_ID[{1}]
2071E	EAS_ERR_EFBOM_HAS_INVALID_EFCALL	EFeature BOM configured with invalid EFCALL_ID[{0}]
2072E	EAS_ERR_PLUGIN_STANDARDIZATION	[{0}] Standardization Plug-in encountered the following error while standardizing: [{1}]
2073E	EAS_ERR_LOADING_LIBRARY	Library loading error {0}
2074E	EAS_ERR_SCORING_MANAGER_PLUGIN	Scoring manager: id {0} and {1} do not match
2075E	EAS_ERR_TABLE_CONFIGURED_WITH_INVALID_FTYPE_CODE	Table {0} configured with an invalid type FTYPE_CODE[{1}]
2075E	EAS_ERR_TABLE_CONFIGURED_WITH_INVALID_FTYPE_ID	Table {0} configured with an invalid type FTYPE_ID[{1}]
2076E	EAS_ERR_TABLE_CONFIGURED_WITH_INVALID_FELEM_CODE	Table {0} configured with an invalid type FELEM_CODE[{1}]
2076E	EAS_ERR_TABLE_CONFIGURED_WITH_INVALID_FELEM_ID	Table {0} configured with an invalid type FELEM_ID[{1}]
2077E	EAS_ERR_TABLE_CONFIGURED_WITH_INVALID_ETYPE_ID	Table {0} configured with an invalid type ETYPE_ID[{1}]
2079E	EAS_ERR_EFBOM_CONFIGURED_WITH_INVALID_FTYPE_ID	CFG_EFBOM configured with an invalid type FTYPE_ID[{0}]
2080E	EAS_ERR_EFBOM_CONFIGURED_WITH_INVALID_FELEM_ID	CFG_EFBOM configured with an invalid type FELEM_ID[{0}]
2081E	EAS_ERR_FUNC_CALL_CONFIGURED_WITH_INVALID_FTYPE_ID	{1} configured with an invalid type FTYPE_ID[{0}]
2082E	EAS_ERR_FUNC_CALL_CONFIGURED_WITH_INVALID_FUNC_ID	{1} configured with an invalid type {2}[{0}]
2083E	EAS_ERR_FUNC_BOM_CONFIGURED_WITH_INVALID_FTYPE_ID	{1} configured with an invalid type FTYPE_ID[{0}]
2084E	EAS_ERR_FUNC_BOM_CONFIGURED_WITH_INVALID_FELEM_ID	{1} configured with an invalid type FELEM_ID[{0}]
2085E	EAS_ERR_TABLE_CONFIGURED_WITH_DUPLICATE_EXEC_ORDER_FOR_FTYPE_ID	Table [{0}] configured with duplicate execution order values for FTYPE_ID[{1}]
2086E	EAS_ERR_TABLE_CONFIGURED_WITH_DUPLICATE_EXEC_ORDER_FOR_ETYPE_ID	Table [{0}] configured with duplicate execution order values for ETYPE_ID[{1}]
2087E	EAS_ERR_TABLE_CONFIGURED_WITH_DUPLICATE_CONFIG_FOR_EFU_TYPE	Table [{0}] configured with duplicate config values for ETYPE_ID[{1}]/FTYPE_ID[{2}]/UTYPE_CODE[{3}]
2088E	EAS_ERR_TABLE_CONFIGURED_WITH_INVALID_RCLASS_ID	Table {0} configured with an invalid RCLASS_ID[{1}]
2089E	EAS_ERR_UNKNOWN_FCLASS_ID	UNKNOWN FCLASS ID[{0}]
2090E	EAS_ERR_SFCALL_HAS_INVALID_FUNCTION	Feature standardization call configured with invalid function ID SFCALL_ID[{0}] SFUNC_ID[{1}]
2091I	EAS_INF_OBS_ENT_ID_NOT_PROVIDED	Requested resolution without providing an OBS_ENT_ID
2092E	EAS_ERR_SUMMARY_HAS_INVALID_BEHAVIOR	Summary configuration references behavior that does not exist FEATURE_CODE[{0}] BEHAVIOR[{1}]
2093E	EAS_ERR_CFUNC_CONFIGURED_WITH_NO_CFRTN	CFG_CFUNC [{0}] configured without any corresponding return values in CFG_CFRTN
2099E	EAS_ERR_COUNTER_CONFIG_INVALID_THRESHOLD	Next Threshold for a counter should be no less than 10, but has NEXT_THRESH{0}
2100E	EAS_ERR_LIBFEAT_SCORED_UNCACHED	Feature is being scored but is not loaded: LIB_FEAT_ID[{0}]
2101E	EAS_ERR_XPATH_OP_UNSUPPORTED	XPath operation unsupported [{0}]
2102E	EAS_ERR_XPATH_AXIS_UNSUPPORTED	XPath axis unsupported [{0}]
2103E	EAS_ERR_XPATH_TEST_UNSUPPORTED	XPath test unsupported [{0}]
2104E	EAS_ERR_XPATH_TYPE_UNSUPPORTED	XPath type unsupported [{0}]
2105E	EAS_ERR_XPATH_NODE_PREFIX_UNSUPPORTED	XPath node prefix unsupported [{0}]
2106E	EAS_ERR_XPATH_NODE_NAME_UNSUPPORTED	XPath node name unsupported position[{0}], name[{1}]
2107E	EAS_ERR_XPATH_BEHAVIOR_TYPE_UNSUPPORTED	XPath behavior type unsupported [{0}]
2108E	EAS_ERR_XPATH_BUCKET_UNSUPPORTED	XPath bucket type unsupported [{0}]
2109E	EAS_ERR_XPATH_VALUE_TYPE_UNSUPPORTED	XPath value type unsupported [{0}]
2110E	EAS_ERR_XPATH_PLUS_TYPE_UNSUPPORTED	XPath plus operand type unsupported [{0}]
2111E	EAS_ERR_XPATH_FRAGMENT_NOT_EVALUATED	XPath fragment not evaluated[{0}]
2112E	EAS_ERR_XPATH_FRAGMENT_NOT_CONFIGURED	XPath fragment not configured[{0}]
2113E	EAS_ERR_XPATH_FUNCTION_UNSUPPORTED	XPath function unsupported [{0}]
2114E	EAS_ERR_INVALID_FTYPE_SCORESET	Cannot set score for invalid FTYPE_ID [{0}]
2115I	EAS_INF_UNRESOLVE_ABORTED_TIME_EXCEEDED	Unresolve for entities aborted
2116E	EAS_ERR_UNITIALIZED_AMBIGUOUS_CACHE	Uninitialized Ambiguous Test Cache
7501E	EAS_ERR_ROUTER_OOM 	Out of memory allocating route
7502E	EAS_ERR_ROUTER_NON_XML_MESSAGE_RECEIVED 	Message received which is not of XML format.
7503E	EAS_ERR_FAILED_TO_OPEN_ROUTING_RULE_QUEUE	Failed to open routing rule queue - {0}
7504E	EAS_ERR_INVALID_ROUTE_FILTER_FUNCTION	Invalid route filter function - {0}
7505E	EAS_ERR_FAILED_TO_OPEN_ROUTE_INFO_STORAGE_FILE	Failed to open file {0} for storing route information.
7507E	EAS_ERR_FAILED_TO_MATCH_XPATH	Failed to match XPath expression: {0}
   E	EAS_ERR_CANT_OPEN_LOG_FILE	Failed to open log file: {0}
   E	EAS_ERR_CANT_WRITE_TO_LOG_FILE	Failed to write to log file: {0}
7205E	EAS_ERR_EXCEEDED_CONFIGURED_RETRIES 	Exceeded configured retries after deadlock or timeout
7511E	EAS_ERR_ABORT_ER_AND_RETRY	Detected change in candidate entity[{0}].  Restarting ER evaluation.
8000E	EAS_ERR_GNRNP 	GNR NameParser Failure
7512E	EAS_ERR_MISSING_LIB_FEAT	Missing LIB_FEAT_ID[{0}].  Restarting ER evaluation.
8301E	EAS_ERR_IS_INVALID_RESPONSE	Invalid response: [{0}]
8302E	EAS_ERR_IS_CANT_CONNECT_SERVER	Cannot connect to InfoServer server: [{0}]
8303E	EAS_ERR_IS_FAILURE_TO_CONNECT	Error, failure to connect to the server : [{0}][{1}]
8304E	EAS_ERR_IS_NON_200_REPLY	Error, received error status code from server : {0}
8305E	EAS_ERR_COULD_NOT_CREATE_HYDRA_TABLE_MAP	Error creating table map [{0}], received error status code from server : {1}
8306E	EAS_ERR_COULD_NOT_INITIALIZE_HYDRA_TABLE_MAP	Error initializing table map [{0}].
8401E	EAS_ERR_UNKNOWN_LENS_CODE	Unknown value of LENS_CODE [{0}].
8402E	EAS_ERR_DEFAULT_LENS_ID_DOES_NOT_EXIST	The default lens ID [{0}] does not exist.
8403E	EAS_ERR_ACCESS_UNKNOWN_LENS_ID	Tried to access unknown lens ID [{0}].  Identifier not found.
8404E	EAS_ERR_CONFLICTING_ER_SPEC_FOR_LENS	Conflicting ER specification for lenses.
8405E	EAS_ERR_MISSING_ER_SPEC_FOR_LENS_ID	Internal ER specification for lenses was not found.
8406E	EAS_ERR_UNKNOWN_LENS_ID_FOR_ER_SESSION	Unknown lens [{0}] accessed by ER session.
8407E	EAS_ERR_CANNOT_LOAD_RETENTION_MULTI_LENS	Cannot load with retention level 'FORGET' with multiple lenses.
8408E	EAS_ERR_UNKNOWN_LENS_ID	Unknown value of LENS_ID [{0}].
8409E	EAS_ERR_CANNOT_HAVE_LENSES_IN_PRUNE_OR_DEL	Cannot have lenses in an observation which will be deleted or pruned.
8501E	EAS_ERR_SALT_DIGEST_ALGORITHM_NOT_AVAILABLE	Failed to get {0} digest algorithm from ICC.
8502E	EAS_ERR_SALT_DIGEST_CONTEXT_CREATE_FAILED 	Failed to create a digest context.
8503E	EAS_ERR_SALT_DIGEST_CONTEXT_INIT_FAILED	Failed {0} to initialise a digest context.
8504E	EAS_ERR_SALT_DIGEST_FAILED	Failed {0} to digest block {1}.
8505E	EAS_ERR_SALT_DIGEST_FINAL_FAILED	Failed {0} to complete digest.
8506E	EAS_ERR_SALT_DIGEST_CONTEXT_CLEANUP_FAILED	Failed {0} to cleanup digest context.
8507E	EAS_ERR_SALT_DIGEST_CONTEXT_RELEASE_FAILED	Failed {0} to release digest context.
8508E	EAS_ERR_SALT_DIGEST_UNKNOWN_EXCEPTION 	Unrecognized exception thrown generating digest.
8509E	EAS_ERR_SALT_DIGEST_ALGORITHM_REQUIRED 	Cannot generate a digest without a valid algorithm.
8510E	EAS_ERR_SALT_CONTEXT_MUST_BE_SUPPLIED 	ICC context must be supplied
8511E	EAS_ERR_SALT_CREATE_FAILED	Failed {0}.{1} to establish ICC context: {2}
8512E	EAS_ERR_SALT_SETVALUE_FAILED	Failed {0}: {1}.{2} to set ICC context: {3}
8513E	EAS_ERR_SALT_ATTACH_FAILED	Failed {0}.{1} to attach ICC context: {2}
8514E	EAS_ERR_SALT_RANDOM_FAILED	Failed {0} to get random content
8516E	EAS_ERROR_SALT_MUST_BE_SIZE	A salt value must be {0} bytes long but the provided one is {1} bytes.
8517E	EAS_ERROR_SALT_DOES_NOT_MATCH_CHECKSUM 	The salt value does not match the recorded checksum.
8520E	EAS_ERR_SALT_G2SS_INIT_FAILED 	Secure Store initialization failed.
8521E	EAS_ERR_SALT_G2SS_TOKEN_MUST_BE_INIT 	Hashing with a named salt requires the Secure Store to be initialised.
8522E	EAS_ERR_SALT_G2SS_SOPIN_NOT_VALID 	The Security Officer
8523E	EAS_ERR_SALT_G2SS_PIN_NOT_VALID 	The provided Secure Store user PIN is not correct.
8524E	EAS_ERR_SALT_G2SS_INIT_UNKNOWN_EXCEPTION 	Secure Store initialization failed with an unrecognised exception
8525E	EAS_ERR_SALT_G2SS_REQUIRED_FOR_LOAD 	Secure Store is required to load salt
8526E	EAS_ERR_SALT_G2SS_REQUIRED_FOR_GENERATE 	Secure Store is required to generate salt
8527E	EAS_ERR_SALT_G2SS_REQUIRED_FOR_IMPORT 	Secure Store is required to import salt
8528E	EAS_ERR_SALT_G2SS_REQUIRED_FOR_EXPORT 	Secure Store is required to export salt
8529E	EAS_ERR_SALT_G2SS_REQUIRED_FOR_DELETE 	Secure Store is required to delete salt
8530E	EAS_ERR_SALT_CANNOT_OVERWRITE	You cannot overwrite an existing salt called {0}
8531E	EAS_ERR_SALT_ADMIN_REQUIRED_FOR_GENERATE 	Administrator access is required to generate salt
8532E	EAS_ERR_SALT_ADMIN_REQUIRED_FOR_IMPORT 	Administrator access is required to import salt
8533E	EAS_ERR_SALT_ADMIN_REQUIRED_FOR_EXPORT 	Administrator access is required to export salt
8534E	EAS_ERR_SALT_ADMIN_REQUIRED_FOR_DELETE 	Administrator access is required to delete salt
8535E	EAS_ERR_SALT_ADMIN_REQUIRED_FOR_LEGACY 	Administrator access is required to add a legacy salt
8536E	EAS_ERR_SALT_G2SS_REQUIRED_FOR_LEGACY 	Secure Store is required to add a legacy salt
8537E	EAS_ERR_SALT_CHECKSUM_DOES_NOT_MATCH	The checksum in the configuration {1} does not match the checksum of the salt {0}
8538E	EAS_ERR_SALT_G2SS_REQUIRED_FOR_METHOD 	Secure Store is required to change hashing method
8539E	EAS_ERR_SALT_G2SS_ERROR_CHANGING_METHOD 	Secure Store error changing hashing method
8540E	EAS_ERR_SALT_WRONG_SIZE	The object called {0} is not a salt
8541E	EAS_ERR_SALT_BASE64_DECODE_ERROR	Base64 decoding error in salt {0} at character {1}
8542E	EAS_ERR_SALT_UNINITIALISED 	Must load a salt before using it.
8543E	EAS_ERR_SALT_NOT_FOUND	There is no salt called {0} in the Secure Store.
8544E	EAS_ERR_SALT_PASSWORD_NOT_STRONG_ENOUGH	The password must be stronger: {0}
8545E	EAS_ERR_SALT_ADMIN_NAME_REQUIRED 	Specify -name and the name to use for the salt
8546E	EAS_ERR_SALT_ADMIN_EXPORT_FILE_REQUIRED 	Specify -file and the filename to use for the exported salt
8547E	EAS_ERR_SALT_ADMIN_PASSWORD_REQUIRED 	Specify -password and the password to use
8548E	EAS_ERR_SALT_ADMIN_FILE_WRITE_ERROR	Error opening or writing to {0}
8549E	EAS_ERR_SALT_ADMIN_FILE_MUST_EXIST	Unable to open {0}
8550E	EAS_ERR_SALT_ADMIN_FILE_READ_ERROR	Error reading from {0}
8551E	EAS_ERR_SALT_ADMIN_INI_REQUIRED 	Specify -ini and the filename of the legacy configuration file.
8552E	EAS_ERR_SALT_ADMIN_IMPORT_FILE_REQUIRED 	Specify -file and the filename from which to import the salt
8553E	EAS_ERR_SALT_ADMIN_LEGACY_INIFILE_REQUIRED	The legacy configuration file {0} not found
8554E	EAS_ERR_SALT_ADMIN_LEGACY_SALT_NOT_FOUND	No legacy salt found in {0}
8555E	EAS_ERR_SALT_ADMIN_IMPORT_FILE_TOO_LARGE	Import file {0} is too large.
8556E	EAS_ERR_SALT_ADMIN_METHOD_NOT_RECOGNISED	Hashing method {0} not supported.
8557E	EAS_ERR_SALT_METHOD_DOES_NOT_MATCH	The hashing method in the configuration
8558E	EAS_ERR_SALT_ADMIN_METHOD_VALUE_REQUIRED 	The -method option must be followed by the hashing method to use with this salt.
8581E	EAS_ERR_SALT_ADMIN_BAD_COMMAND 	Command processor must be supplied
8582E	EAS_ERR_SALT_ADMIN_REGISTER_DUPLICATE	There are two commands for {0}.
8583E	EAS_ERR_SALT_ADMIN_NO_COMMAND	No command specified. Exactly one command should be given, from {0}.
8584E	EAS_ERR_SALT_ADMIN_MORE_THAN_ONE_COMMAND	More than one command given: {0}.
8585E	EAS_ERR_SALT_ADMIN_COMMAND_PROCESSOR_BAD_OPTIONS	Command {0} supplying incorrect option count
8586E	EAS_ERR_SALT_ADMIN_COMMAND_PROCESSOR_BAD_FLAGS	Command {0} supplying incorrect flag count
8587E	EAS_ERR_SALT_ADMIN_OPTION_OVERLAP	You cannot use {1} as the value of {0}
8591E	EAS_ERR_SALT_HMAC_ALGORITHM_NOT_AVAILABLE	Failed to get {0} HMAC algorithm from ICC.
8592E	EAS_ERR_SALT_HMAC_CONTEXT_CREATE_FAILED 	Failed to create an HMAC context.
8593E	EAS_ERR_SALT_HMAC_CONTEXT_INIT_FAILED	Failed {0} to initialise an HMAC context.
8594E	EAS_ERR_SALT_HMAC_FAILED	Failed {0} to HMAC block {1}.
8595E	EAS_ERR_SALT_HMAC_FINAL_FAILED	Failed {0} to complete HMAC.
8596E	EAS_ERR_SALT_HMAC_CONTEXT_CLEANUP_FAILED	Failed {0} to cleanup HMAC context.
8597E	EAS_ERR_SALT_HMAC_CONTEXT_RELEASE_FAILED	Failed {0} to release HMAC context.
8598E	EAS_ERR_SALT_HMAC_UNKNOWN_EXCEPTION 	Unrecognized exception thrown generating HMAC.
8599E	EAS_ERR_SALT_UNKNOWN_HASHING_METHOD	Unrecognized hashing method
8601E	EAS_ERR_HASHER_REQUIRES_SECURE_STORE 	Using a named salt requires the Secure Store configured and running
8602E	EAS_ERR_HASHER_CHECKSUM_DOES_NOT_MATCH	The hashing checksum configured
8603E	EAS_ERR_HASHER_UNABLE_TO_RECORD_SALT 	Unable to record the configured salt
8604E	EAS_ERR_HASHER_REQUIRES_FUNCTION 	Using hashing requires a configured hashing function
8605E	EAS_ERR_HASHER_EPHEMERAL_OR_NAMED_SALT 	Specify either a named salt or an ephemeral one. Can not have both
8606E	EAS_ERR_HASHER_SALT_REQUIRED 	Hashing requires a salt to be configured.
8607E	EAS_ERR_HASHER_INVALID_ARGS	Invalid arguments to hashing function. Either a parameter wasn't provided or a buffer was too small
8701E	EAS_ERR_PARAMETER_NOT_READABLE 	The parameter store does not support a read interface
8702E	EAS_ERR_PARAMETER_NOT_WRITABLE 	The parameter store does not support a write interface
9000E	EAS_LIMIT_MAX_OBS_ENT	LIMIT: Maximum number of records ingested: {0}
9500E	EAS_ERR_TOKEN_LIBRARY_CHECKSUM_MISMATCH	Cannot load token library. The checksum does not match the configuration of this node. Found: [{0}] Expected: [{1}]
9501E	EAS_TOKEN_LIBRARY_ALREADY_HASHED 	Cannot hash token library. The Token Library contains previous hashed data
9800E	EAS_ERR_ERROR_READING_CONFIGURATION_FILE_DURING_CHECKSUM_OPERATION	Error opening or reading configuration file [{0}] during configuration checksum calculation.
9801E	EAS_ERR_UNKNOWN_INPUT_TYPE_TO_CALCULATE_CONFIG_CHECKSUM 	Internal Error: Unknown Input Type to CalculateConfigurationChecksum
9802E	EAS_ERR_INBOUND_OBS_CONFIG_CHECKSUM_MISMATCH	Configuration checksum on inbound observation [{0}] does not match this nodes configuration checksum [{1}]. Cannot process.
9803E	EAS_ERR_CALC_CONFIGCHKSUM_AND_PARAMSTORE_CONFIGCHKSUM_DONT_MATCH	The calculated configuration checksum [{0}] does not match the CONFIGURATION_CHECKSUM value in the parameter store [{1}].
9804E	EAS_ERROR_BAD_XMLCHECKSUM_CALCULATOR_INPUT_TOO_SHORT	Input to configuration checksum calculator [{0}] is too short to be valid XML.
9805E	EAS_ERROR_BAD_XMLCHECKSUM_CALCULATOR_BAD_PREFIX	Input to configuration checksum calculator [{0}] has incorrect prefix.
30001	EAS_ERR_INVALID_PRUNE_BEFORE_DATE	Invalid date for PRUNE_BEFORE [{0}]
30002	EAS_ERR_INVALID_PRUNE_AFTER_DATE	Invalid date for PRUNE_AFTER [{0}]
30003	EAS_ERR_MISSING_PRUNE_TAGS	Prune action was specified, but no PRUNE_BEFORE or PRUNE_AFTER tags found
30004	EAS_ERR_WRONG_VALUES_FOR_PRUNE_DATES	Prune action was specified and PRUNE_BEFORE < PRUNE_AFTER
30011	EAS_ERR_DELETE_WITH_RESOLVE_ONLY	Cannot delete an entity with type RESOLVE_ONLY
30013	EAS_ERR_PRUNE_WITH_RESOLVE_ONLY	Cannot prune an entity with type RESOLVE_ONLY
30020	EAS_ERR_SSN_NOT_NUMERIC	SSN is not numeric [{0}]
30020	EAS_ERR_SSN_IS_INVALID	SSN must have either 4 or 9 digits [{0}]
30101E	EAS_ERR_INVALID_SESSION_HANDLE	Invalid Session Handle [{0}]
30102E	EAS_ERR_REPORT_HANDLE	Invalid Report Handle [{0}]
30103E	EAS_ERR_EXPORT_HANDLE	Invalid Export Handle [{0}]
30104E	EAS_ERR_CONFIG_HANDLE	Invalid Config Handle [{0}]
30110E	EAS_ERR_UNKNOWN_COLUMN_REQUESTED_FOR_CSV_EXPORT	Invalid column [{0}] requested for CSV export.
30110E	EAS_ERR_RESPONSE_MESSAGE_SIZE_LARGER_THAN_BUFFER_SIZE	Response message size [{0}] is larger than buffer size [{1}]
30111E	EAS_ERR_RESPONSE_RESIZE_FUNCTION_IS_NOT_PROVIDED   	Resize function is not provided
30112E	EAS_ERR_RESPONSE_RESIZE_FUNCTION_GAVE_INVALID_RESULT   	Resize function returned an invalid result
30121E	EAS_ERR_JSON_PARSING_FAILURE	JSON Parsing Failure [code={0},offset={1}]
